username, deviceName, position, distance, timestamp,targetPointX, targetPointY, gazePointX, gazePointY,faceTransform_0_x, faceTransform_0_y, faceTransform_0_z, faceTransform_0_w,faceTransform_1_x, faceTransform_1_y, faceTransform_1_z, faceTransform_1_w,faceTransform_2_x, faceTransform_2_y, faceTransform_2_z, faceTransform_2_w,faceTransform_3_x, faceTransform_3_y, faceTransform_3_z, faceTransform_3_w,rightEyeTransform_0_x, rightEyeTransform_0_y, rightEyeTransform_0_z, rightEyeTransform_0_w,rightEyeTransform_1_x, rightEyeTransform_1_y, rightEyeTransform_1_z, rightEyeTransform_1_w,rightEyeTransform_2_x, rightEyeTransform_2_y, rightEyeTransform_2_z, rightEyeTransform_2_w,rightEyeTransform_3_x, rightEyeTransform_3_y, rightEyeTransform_3_z, rightEyeTransform_3_w,leftEyeTransform_0_x, leftEyeTransform_0_y, leftEyeTransform_0_z, leftEyeTransform_0_w,leftEyeTransform_1_x, leftEyeTransform_1_y, leftEyeTransform_1_z, leftEyeTransform_1_w,leftEyeTransform_2_x, leftEyeTransform_2_y, leftEyeTransform_2_z, leftEyeTransform_2_w,leftEyeTransform_3_x, leftEyeTransform_3_y, leftEyeTransform_3_z, leftEyeTransform_3_w
victor,iPad Mini 6th,Down,Close,1714395268.205871,1133.0,372.0,1814.1377816988727,-283.8706279932045,0.9997171,0.0041574207,0.023420488,0.0,-0.009252401,0.9750335,0.22186476,0.0,-0.02191333,-0.22201873,0.9747962,0.0,0.0784658,-0.040917583,-0.2727267,1.0,0.85974175,-0.013263502,-0.51055664,0.0,0.0,0.99966264,-0.02596975,0.0,0.51072884,0.022327282,0.85945183,0.0,-0.032498423,0.031704128,0.02453605,1.0,0.88391495,-0.012460897,-0.4674815,0.0,0.0,0.9996449,-0.026645912,0.0,0.46764755,0.023552723,0.8836012,0.0,0.032519396,0.03176451,0.024527637,1.0
victor,iPad Mini 6th,Left,Close,1714395281.307448,1133.0,372.0,387.3809446089381,953.2837893333962,0.9254189,0.18117797,0.33282807,0.0,-0.040056404,0.92014843,-0.3895155,0.0,-0.37682286,0.34713304,0.85878,0.0,0.044423997,-0.020322394,-0.31690603,1.0,0.90411013,0.101462305,-0.41507882,0.0,0.0,0.9713998,0.23744999,0.0,0.42729968,-0.21468094,0.8782524,0.0,-0.032498155,0.03171164,0.024526242,1.0,0.92676395,0.09132053,-0.36437473,0.0,0.0,0.97000015,0.24310392,0.0,0.37564394,-0.22529997,0.89896125,0.0,0.032519195,0.03177233,0.024520129,1.0
victor,iPad Mini 6th,Left,Close,1714395281.307451,1133.0,372.0,387.09743872402225,947.7785779167349,0.9263133,0.18106756,0.3303913,0.0,-0.04090227,0.9200889,-0.38956818,0.0,-0.3745275,0.3473484,0.8596966,0.0,0.044316586,-0.020445934,-0.31682998,1.0,0.9051343,0.10147882,-0.41283637,0.0,0.0,0.9710926,0.23870313,0.0,0.42512566,-0.2160584,0.87896925,0.0,-0.032498155,0.03171164,0.024526242,1.0,0.9277425,0.09120225,-0.36190608,0.0,0.0,0.9696833,0.24436532,0.0,0.37322092,-0.22670808,0.89961636,0.0,0.032519195,0.03177233,0.024520129,1.0
victor,iPad Mini 6th,Left,Close,1714395281.307452,1133.0,372.0,393.284818993544,947.1215824930687,0.92680645,0.18135484,0.32884693,0.0,-0.04208246,0.92030436,-0.38893285,0.0,-0.3731742,0.34662676,0.86057603,0.0,0.044200648,-0.020512901,-0.31682882,1.0,0.9047819,0.10142344,-0.41362178,0.0,0.0,0.9712276,0.23815295,0.0,0.42587522,-0.21547648,0.8787492,0.0,-0.032498155,0.03171164,0.024526242,1.0,0.9273982,0.09120261,-0.3627873,0.0,0.0,0.96982354,0.24380796,0.0,0.3740756,-0.22610706,0.89941263,0.0,0.032519195,0.03177233,0.024520129,1.0
victor,iPad Mini 6th,Left,Close,1714395281.3074532,1133.0,372.0,399.1749950163947,947.5402312034697,0.9272079,0.18190244,0.32740927,0.0,-0.043193787,0.92024624,-0.38894865,0.0,-0.37204784,0.34649426,0.86111665,0.0,0.044078015,-0.020677857,-0.31675112,1.0,0.9043504,0.10142646,-0.41456372,0.0,0.0,0.971351,0.2376491,0.0,0.4267908,-0.21491808,0.87844175,0.0,-0.032498155,0.03171164,0.024526242,1.0,0.92698205,0.09126331,-0.36383426,0.0,0.0,0.9699511,0.2433002,0.0,0.37510577,-0.22553492,0.89912724,0.0,0.032519195,0.03177233,0.024520129,1.0
victor,iPad Mini 6th,Left,Close,1714395281.307454,1133.0,372.0,404.53270400368325,948.1390862854447,0.927665,0.18249029,0.32578376,0.0,-0.044360325,0.9201265,-0.38910067,0.0,-0.37076938,0.34650317,0.86166453,0.0,0.043989994,-0.020855287,-0.31675696,1.0,0.9041344,0.10134798,-0.41505376,0.0,0.0,0.9714582,0.23721103,0.0,0.42724818,-0.21447065,0.87832874,0.0,-0.032498155,0.03171164,0.024526242,1.0,0.9267722,0.09122246,-0.3643785,0.0,0.0,0.9700623,0.24285589,0.0,0.3756238,-0.2250721,0.8990268,0.0,0.032519195,0.03177233,0.024520129,1.0
victor,iPad Mini 6th,Left,Close,1714395281.307455,1133.0,372.0,405.6702178763593,943.6431548628282,0.92791927,0.18298261,0.32478166,0.0,-0.04545751,0.9202793,-0.38861245,0.0,-0.3699992,0.34583724,0.8622629,0.0,0.043995194,-0.020932762,-0.31678423,1.0,0.90441984,0.10149727,-0.4143947,0.0,0.0,0.97129035,0.23789716,0.0,0.42664346,-0.21515892,0.8784543,0.0,-0.032498155,0.03171164,0.024526242,1.0,0.9270522,0.09131585,-0.36364192,0.0,0.0,0.96988755,0.24355307,0.0,0.37493202,-0.22578643,0.8991364,0.0,0.032519195,0.03177233,0.024520129,1.0
victor,iPad Mini 6th,Left,Close,1714395281.307455,1133.0,372.0,395.00531410490436,930.5705189723668,0.9279538,0.18277691,0.32479906,0.0,-0.045680046,0.9206944,-0.38760185,0.0,-0.36988536,0.34483975,0.8627112,0.0,0.04412659,-0.020842448,-0.3167563,1.0,0.90620404,0.10183051,-0.4103958,0.0,0.0,0.97056854,0.2408248,0.0,0.4228406,-0.21823643,0.8795332,0.0,-0.032498155,0.03171164,0.024526242,1.0,0.92877394,0.09136975,-0.35920808,0.0,0.0,0.9691391,0.24651448,0.0,0.37064657,-0.22895622,0.90011114,0.0,0.032519195,0.03177233,0.024520129,1.0
victor,iPad Mini 6th,Left,Close,1714395281.307456,1133.0,372.0,389.4266861630237,923.4629578261864,0.92785573,0.18212211,0.32544604,0.0,-0.045488596,0.92140365,-0.3859354,0.0,-0.37015456,0.34328827,0.86321425,0.0,0.044257954,-0.020644661,-0.31667155,1.0,0.90697986,0.10174385,-0.40869984,0.0,0.0,0.97038275,0.2415721,0.0,0.42117378,-0.21910104,0.88011765,0.0,-0.032498155,0.03171164,0.024526242,1.0,0.92952985,0.09117902,-0.3572963,0.0,0.0,0.9689473,0.24726723,0.0,0.36874688,-0.22984226,0.90066534,0.0,0.032519195,0.03177233,0.024520129,1.0
victor,iPad Mini 6th,Left,Close,1714395281.307457,1133.0,372.0,382.5090851957404,913.1754164287424,0.92749184,0.18161406,0.32676443,0.0,-0.045096938,0.9220391,-0.38446102,0.0,-0.3711131,0.34184843,0.86337405,0.0,0.04437525,-0.020485228,-0.31662092,1.0,0.9076616,0.10221437,-0.4070658,0.0,0.0,0.9698908,0.24353993,0.0,0.4197027,-0.22105186,0.8803327,0.0,-0.032498155,0.03171164,0.024526242,1.0,0.9301962,0.09149663,-0.35547623,0.0,0.0,0.96843475,0.24926707,0.0,0.36706263,-0.23186728,0.9008343,0.0,0.032519195,0.03177233,0.024520129,1.0
