username, deviceName, position, distance, timestamp,targetPointX, targetPointY, gazePointX, gazePointY,faceTransform_0_x, faceTransform_0_y, faceTransform_0_z, faceTransform_0_w,faceTransform_1_x, faceTransform_1_y, faceTransform_1_z, faceTransform_1_w,faceTransform_2_x, faceTransform_2_y, faceTransform_2_z, faceTransform_2_w,faceTransform_3_x, faceTransform_3_y, faceTransform_3_z, faceTransform_3_w,rightEyeTransform_0_x, rightEyeTransform_0_y, rightEyeTransform_0_z, rightEyeTransform_0_w,rightEyeTransform_1_x, rightEyeTransform_1_y, rightEyeTransform_1_z, rightEyeTransform_1_w,rightEyeTransform_2_x, rightEyeTransform_2_y, rightEyeTransform_2_z, rightEyeTransform_2_w,rightEyeTransform_3_x, rightEyeTransform_3_y, rightEyeTransform_3_z, rightEyeTransform_3_w,leftEyeTransform_0_x, leftEyeTransform_0_y, leftEyeTransform_0_z, leftEyeTransform_0_w,leftEyeTransform_1_x, leftEyeTransform_1_y, leftEyeTransform_1_z, leftEyeTransform_1_w,leftEyeTransform_2_x, leftEyeTransform_2_y, leftEyeTransform_2_z, leftEyeTransform_2_w,leftEyeTransform_3_x, leftEyeTransform_3_y, leftEyeTransform_3_z, leftEyeTransform_3_w,lookAtPointX, lookAtPointY, lookAtPointZ
lucas,iPad Mini 6th,Down,Arms Extended,1715166814.424922,0.0,0.0,603.0957887726506,-902.9958906586714,0.99991405,-0.0040786914,-0.01247863,0.0,0.0067289746,0.97539043,0.22038248,0.0,0.011272683,-0.22044748,0.9753337,0.0,0.05193274,0.039552324,-0.68075675,1.0,0.99960536,0.0016296414,0.028044948,0.0,0.0,0.99831593,-0.05801034,0.0,-0.028092258,0.057987448,0.99792194,0.0,-0.033694793,0.03056007,0.026060155,1.0,0.9947895,0.005888304,0.10177976,0.0,0.0,0.99833065,-0.05775681,0.0,-0.101949945,0.05745587,0.9931289,0.0,0.033674557,0.030536277,0.026044622,1.0,-0.05914847,0.08321042,0.9317771
lucas,iPad Mini 6th,Down,Arms Extended,1715166814.44168,0.0,0.0,601.9386238469853,-906.5003762545548,0.99990493,-0.0045977933,-0.012996076,0.0,0.007343605,0.97549576,0.21989591,0.0,0.011666572,-0.21997048,0.97543687,0.0,0.051926408,0.039329246,-0.6806171,1.0,0.9995914,0.001642862,0.028536402,0.0,0.0,0.9983469,-0.057475578,0.0,-0.028583653,0.05745209,0.99793893,0.0,-0.033694793,0.03056007,0.026060155,1.0,0.9947375,0.0058627883,0.10228826,0.0,0.0,0.99836147,-0.057222422,0.0,-0.10245614,0.05692129,0.9931076,0.0,0.033674557,0.030536277,0.026044622,1.0,-0.059586335,0.08270859,0.93150634
lucas,iPad Mini 6th,Down,Arms Extended,1715166814.458352,0.0,0.0,603.485654188892,-896.4660035324848,0.9998965,-0.0049544526,-0.013489874,0.0,0.0077894265,0.9756879,0.21902573,0.0,0.012076733,-0.21910821,0.9756258,0.0,0.05194331,0.039197076,-0.6806315,1.0,0.9995816,0.001662018,0.028879503,0.0,0.0,0.9983481,-0.057455026,0.0,-0.028927287,0.057430986,0.9979304,0.0,-0.033694793,0.03056007,0.026060155,1.0,0.9947022,0.0058800564,0.10262895,0.0,0.0,0.99836266,-0.057200518,0.0,-0.102797255,0.056897484,0.99307364,0.0,0.033674557,0.030536277,0.026044622,1.0,-0.059896965,0.082688615,0.9314754
lucas,iPad Mini 6th,Down,Arms Extended,1715166814.475086,0.0,0.0,599.8747373425116,-883.6807702685905,0.9999026,-0.004826636,-0.013085635,0.0,0.0075731655,0.97574496,0.21877919,0.0,0.011712263,-0.21885704,0.9756866,0.0,0.05195618,0.039181482,-0.6807314,1.0,0.9995842,0.0016774357,0.028784383,0.0,0.0,0.9983062,-0.058177188,0.0,-0.028833218,0.058152996,0.9978911,0.0,-0.033694793,0.03056007,0.026060155,1.0,0.99471337,0.0059477645,0.102517515,0.0,0.0,0.99832124,-0.05791966,0.0,-0.1026899,0.057613462,0.99304354,0.0,0.033674557,0.030536277,0.026044622,1.0,-0.059816923,0.08335648,0.93165684
lucas,iPad Mini 6th,Down,Arms Extended,1715166814.491846,0.0,0.0,597.6208428463598,-875.0801115974666,0.9999098,-0.0044115046,-0.012687098,0.0,0.0070842956,0.97568226,0.21907552,0.0,0.011412141,-0.21914564,0.9756254,0.0,0.051944632,0.03920737,-0.68059325,1.0,0.99959046,0.0016879779,0.028566368,0.0,0.0,0.9982587,-0.0589868,0.0,-0.028616197,0.058962643,0.9978499,0.0,-0.033694793,0.03056007,0.026060155,1.0,0.99473727,0.0060170256,0.10228181,0.0,0.0,0.99827415,-0.058726385,0.0,-0.10245864,0.058417324,0.9930205,0.0,0.033674557,0.030536277,0.026044622,1.0,-0.0596263,0.08410613,0.93187195
lucas,iPad Mini 6th,Down,Arms Extended,1715166814.50828,0.0,0.0,600.8089990831736,-870.1863778369634,0.9999179,-0.004068696,-0.012148309,0.0,0.0066451635,0.9754155,0.2202735,0.0,0.010953404,-0.22033614,0.9753625,0.0,0.05196264,0.039310493,-0.6805625,1.0,0.9996104,0.0016863972,0.027859677,0.0,0.0,0.998173,-0.060421236,0.0,-0.02791067,0.060397696,0.99778414,0.0,-0.033694793,0.03056007,0.026060155,1.0,0.99481183,0.006119912,0.10154777,0.0,0.0,0.9981889,-0.060157187,0.0,-0.101732016,0.059845082,0.99301016,0.0,0.033674557,0.030536277,0.026044622,1.0,-0.058997273,0.08543533,0.93225914
lucas,iPad Mini 6th,Down,Arms Extended,1715166814.525073,0.0,0.0,602.2937771842236,-854.4020400723134,0.99992615,-0.0041086087,-0.011431217,0.0,0.006529032,0.97535276,0.22055484,0.0,0.010243283,-0.2206132,0.97530764,0.0,0.051982272,0.03934144,-0.68048984,1.0,0.9996333,0.0016719456,0.027029332,0.0,0.0,0.99809235,-0.06173871,0.0,-0.027080992,0.06171607,0.9977263,0.0,-0.033694793,0.03056007,0.026060155,1.0,0.9948992,0.006200952,0.10068307,0.0,0.0,0.9981088,-0.06147235,0.0,-0.10087384,0.06115879,0.9930177,0.0,0.033674557,0.030536277,0.026044622,1.0,-0.058258094,0.08666603,0.93275857
lucas,iPad Mini 6th,Down,Arms Extended,1715166814.541774,0.0,0.0,599.4852544285181,-852.5571361048017,0.99992406,-0.004779596,-0.011360656,0.0,0.00716838,0.9753392,0.2205951,0.0,0.010026143,-0.22065978,0.97529936,0.0,0.05200007,0.03935057,-0.6802165,1.0,0.99963284,0.0016726837,0.02704678,0.0,0.0,0.9980931,-0.06172617,0.0,-0.027098453,0.061703503,0.9977266,0.0,-0.033694793,0.03056007,0.026060155,1.0,0.9948994,0.0061996165,0.100681856,0.0,0.0,0.9981096,-0.0614599,0.0,-0.10087255,0.061146416,0.9930186,0.0,0.033674557,0.030536277,0.026044622,1.0,-0.058280163,0.08666882,0.93298805
lucas,iPad Mini 6th,Down,Arms Extended,1715166814.557774,0.0,0.0,595.4681201947956,-838.6117735228202,0.99992627,-0.005033607,-0.011056851,0.0,0.0073453034,0.9754243,0.22021207,0.0,0.009676678,-0.22027706,0.9753893,0.0,0.052005675,0.039397217,-0.67973006,1.0,0.9996362,0.0016715816,0.02692122,0.0,0.0,0.99807787,-0.061972253,0.0,-0.026973065,0.061949708,0.99771476,0.0,-0.033694793,0.03056007,0.026060155,1.0,0.9949129,0.006216098,0.10054627,0.0,0.0,0.9980944,-0.061705444,0.0,-0.100738235,0.061391547,0.9930171,0.0,0.033674557,0.030536277,0.026044622,1.0,-0.058169894,0.0869014,0.93312055
lucas,iPad Mini 6th,Down,Arms Extended,1715166814.574985,0.0,0.0,598.9092060430783,-812.7136938196468,0.99993,-0.0050067073,-0.010721716,0.0,0.0072351503,0.9756617,0.21916181,0.0,0.009363503,-0.21922404,0.9756296,0.0,0.0520697,0.039467562,-0.679696,1.0,0.99965,0.0016561802,0.026405137,0.0,0.0,0.99803877,-0.062598884,0.0,-0.026457025,0.06257697,0.9976895,0.0,-0.033694793,0.03056007,0.026060155,1.0,0.9949683,0.0062450226,0.09999529,0.0,0.0,0.9980554,-0.062331717,0.0,-0.10019012,0.062018085,0.9930335,0.0,0.033674557,0.030536277,0.026044622,1.0,-0.057714235,0.087503165,0.9336087
